date;driver_number;meeting_key;position;session_key
2025-02-26 06:46:40.699000+00:00;1;1253;1;9683
2025-02-26 06:46:40.699000+00:00;4;1253;2;9683
2025-02-26 06:46:40.699000+00:00;5;1253;3;9683
2025-02-26 06:46:40.699000+00:00;6;1253;4;9683
2025-02-26 06:46:40.699000+00:00;7;1253;5;9683
2025-02-26 06:46:40.699000+00:00;10;1253;6;9683
2025-02-26 06:46:40.699000+00:00;12;1253;7;9683
2025-02-26 06:46:40.699000+00:00;14;1253;8;9683
2025-02-26 06:46:40.699000+00:00;16;1253;9;9683
2025-02-26 06:46:40.699000+00:00;18;1253;10;9683
2025-02-26 06:46:40.699000+00:00;22;1253;11;9683
2025-02-26 06:46:40.699000+00:00;23;1253;12;9683
2025-02-26 06:46:40.699000+00:00;27;1253;13;9683
2025-02-26 06:46:40.699000+00:00;30;1253;14;9683
2025-02-26 06:46:40.699000+00:00;31;1253;15;9683
2025-02-26 06:46:40.699000+00:00;44;1253;16;9683
2025-02-26 06:46:40.699000+00:00;55;1253;17;9683
2025-02-26 06:46:40.699000+00:00;63;1253;18;9683
2025-02-26 06:46:40.699000+00:00;81;1253;19;9683
2025-02-26 06:46:40.699000+00:00;87;1253;20;9683
2025-02-26 07:00:03.768000+00:00;1;1253;2;9683
2025-02-26 07:00:03.768000+00:00;4;1253;3;9683
2025-02-26 07:00:03.768000+00:00;5;1253;4;9683
2025-02-26 07:00:03.768000+00:00;6;1253;5;9683
2025-02-26 07:00:03.768000+00:00;7;1253;6;9683
2025-02-26 07:00:03.768000+00:00;10;1253;7;9683
2025-02-26 07:00:03.768000+00:00;12;1253;1;9683
2025-02-26 07:00:13.872000+00:00;1;1253;3;9683
2025-02-26 07:00:13.872000+00:00;4;1253;4;9683
2025-02-26 07:00:13.872000+00:00;5;1253;5;9683
2025-02-26 07:00:13.872000+00:00;6;1253;6;9683
2025-02-26 07:00:13.872000+00:00;7;1253;7;9683
2025-02-26 07:00:13.872000+00:00;10;1253;8;9683
2025-02-26 07:00:13.872000+00:00;14;1253;2;9683
2025-02-26 07:00:27.507000+00:00;1;1253;4;9683
2025-02-26 07:00:27.507000+00:00;4;1253;5;9683
2025-02-26 07:00:27.507000+00:00;5;1253;6;9683
2025-02-26 07:00:27.507000+00:00;6;1253;7;9683
2025-02-26 07:00:27.507000+00:00;7;1253;8;9683
2025-02-26 07:00:27.507000+00:00;10;1253;9;9683
2025-02-26 07:00:27.507000+00:00;16;1253;10;9683
2025-02-26 07:00:27.507000+00:00;18;1253;11;9683
2025-02-26 07:00:27.507000+00:00;22;1253;12;9683
2025-02-26 07:00:27.507000+00:00;23;1253;13;9683
2025-02-26 07:00:27.507000+00:00;27;1253;3;9683
2025-02-26 07:00:40.756000+00:00;1;1253;5;9683
2025-02-26 07:00:40.756000+00:00;4;1253;6;9683
2025-02-26 07:00:40.756000+00:00;5;1253;7;9683
2025-02-26 07:00:40.756000+00:00;6;1253;8;9683
2025-02-26 07:00:40.756000+00:00;7;1253;9;9683
2025-02-26 07:00:40.756000+00:00;10;1253;10;9683
2025-02-26 07:00:40.756000+00:00;16;1253;11;9683
2025-02-26 07:00:40.756000+00:00;18;1253;12;9683
2025-02-26 07:00:40.756000+00:00;22;1253;4;9683
2025-02-26 07:00:58.490000+00:00;1;1253;6;9683
2025-02-26 07:00:58.490000+00:00;4;1253;7;9683
2025-02-26 07:00:58.490000+00:00;5;1253;8;9683
2025-02-26 07:00:58.490000+00:00;6;1253;9;9683
2025-02-26 07:00:58.490000+00:00;7;1253;10;9683
2025-02-26 07:00:58.490000+00:00;10;1253;11;9683
2025-02-26 07:00:58.490000+00:00;16;1253;12;9683
2025-02-26 07:00:58.490000+00:00;18;1253;13;9683
2025-02-26 07:00:58.490000+00:00;23;1253;14;9683
2025-02-26 07:00:58.490000+00:00;30;1253;15;9683
2025-02-26 07:00:58.490000+00:00;31;1253;16;9683
2025-02-26 07:00:58.490000+00:00;44;1253;5;9683
2025-02-26 07:01:12.523000+00:00;1;1253;7;9683
2025-02-26 07:01:12.523000+00:00;4;1253;8;9683
2025-02-26 07:01:12.523000+00:00;5;1253;9;9683
2025-02-26 07:01:12.523000+00:00;6;1253;10;9683
2025-02-26 07:01:12.523000+00:00;7;1253;6;9683
2025-02-26 07:01:22.675000+00:00;1;1253;8;9683
2025-02-26 07:01:22.675000+00:00;4;1253;9;9683
2025-02-26 07:01:22.675000+00:00;5;1253;10;9683
2025-02-26 07:01:22.675000+00:00;6;1253;11;9683
2025-02-26 07:01:22.675000+00:00;10;1253;12;9683
2025-02-26 07:01:22.675000+00:00;16;1253;13;9683
2025-02-26 07:01:22.675000+00:00;18;1253;14;9683
2025-02-26 07:01:22.675000+00:00;23;1253;15;9683
2025-02-26 07:01:22.675000+00:00;30;1253;7;9683
2025-02-26 07:01:35.669000+00:00;1;1253;9;9683
2025-02-26 07:01:35.669000+00:00;4;1253;10;9683
2025-02-26 07:01:35.669000+00:00;5;1253;11;9683
2025-02-26 07:01:35.669000+00:00;6;1253;12;9683
2025-02-26 07:01:35.669000+00:00;10;1253;13;9683
2025-02-26 07:01:35.669000+00:00;16;1253;14;9683
2025-02-26 07:01:35.669000+00:00;18;1253;15;9683
2025-02-26 07:01:35.669000+00:00;23;1253;16;9683
2025-02-26 07:01:35.669000+00:00;31;1253;17;9683
2025-02-26 07:01:35.669000+00:00;55;1253;18;9683
2025-02-26 07:01:35.669000+00:00;63;1253;19;9683
2025-02-26 07:01:35.669000+00:00;81;1253;8;9683
2025-02-26 07:01:44.801000+00:00;1;1253;10;9683
2025-02-26 07:01:44.801000+00:00;4;1253;11;9683
2025-02-26 07:01:44.801000+00:00;5;1253;12;9683
2025-02-26 07:01:44.801000+00:00;6;1253;13;9683
2025-02-26 07:01:44.801000+00:00;10;1253;14;9683
