date;driver_number;lap_number;meeting_key;pit_duration;session_key
2025-02-26 07:00:03.919000+00:00;12;1;1253;;9683
2025-02-26 07:00:14.061000+00:00;14;1;1253;;9683
2025-02-26 07:00:27.627000+00:00;27;1;1253;;9683
2025-02-26 07:00:40.874000+00:00;22;1;1253;;9683
2025-02-26 07:00:58.584000+00:00;44;1;1253;;9683
2025-02-26 07:01:12.698000+00:00;7;1;1253;;9683
2025-02-26 07:01:22.912000+00:00;30;1;1253;;9683
2025-02-26 07:01:35.760000+00:00;81;1;1253;;9683
2025-02-26 07:01:44.968000+00:00;87;1;1253;;9683
2025-02-26 07:03:59.112000+00:00;7;2;1253;35.0;9683
2025-02-26 07:07:11.719000+00:00;23;1;1253;;9683
2025-02-26 07:07:58.994000+00:00;22;4;1253;83.9;9683
2025-02-26 07:09:28.294000+00:00;12;6;1253;30.3;9683
2025-02-26 07:14:35.992000+00:00;22;7;1253;41.7;9683
2025-02-26 07:14:56.343000+00:00;14;3;1253;648.1;9683
2025-02-26 07:15:37.110000+00:00;23;2;1253;381.2;9683
2025-02-26 07:16:33.245000+00:00;81;2;1253;783.4;9683
2025-02-26 07:16:56.440000+00:00;7;3;1253;653.1;9683
2025-02-26 07:18:32.369000+00:00;23;3;1253;58.9;9683
2025-02-26 07:20:33.201000+00:00;87;2;1253;1018.5;9683
2025-02-26 07:21:51.311000+00:00;23;4;1253;82.2;9683
2025-02-26 07:23:07.131000+00:00;81;3;1253;282.5;9683
2025-02-26 07:25:25.922000+00:00;81;4;1253;30.0;9683
2025-02-26 07:25:49.658000+00:00;27;2;1253;1409.6;9683
2025-02-26 07:29:08.610000+00:00;7;9;1253;33.4;9683
2025-02-26 07:30:54.772000+00:00;44;6;1253;1260.1;9683
2025-02-26 07:31:39.336000+00:00;27;5;1253;37.2;9683
2025-02-26 07:32:36.834000+00:00;30;5;1253;1466.8;9683
2025-02-26 07:34:17.588000+00:00;81;5;1253;420.5;9683
2025-02-26 07:34:58.538000+00:00;23;5;1253;675.5;9683
