circuit_key;circuit_short_name;country_code;country_key;country_name;date_end;date_start;gmt_offset;location;meeting_key;session_key;session_name;session_type;year
63;Sakhir;BRN;36;Bahrain;2025-02-26 16:00:00+00:00;2025-02-26 07:00:00+00:00;03:00:00;Sakhir;1253;9683;Day 1;Practice;2025
63;Sakhir;BRN;36;Bahrain;2025-02-27 16:00:00+00:00;2025-02-27 07:00:00+00:00;03:00:00;Sakhir;1253;9684;Day 2;Practice;2025
63;Sakhir;BRN;36;Bahrain;2025-02-28 16:00:00+00:00;2025-02-28 07:00:00+00:00;03:00:00;Sakhir;1253;9685;Day 3;Practice;2025
10;Melbourne;AUS;5;Australia;2025-03-14 02:30:00+00:00;2025-03-14 01:30:00+00:00;11:00:00;Melbourne;1254;9686;Practice 1;Practice;2025
10;Melbourne;AUS;5;Australia;2025-03-14 06:00:00+00:00;2025-03-14 05:00:00+00:00;11:00:00;Melbourne;1254;9687;Practice 2;Practice;2025
10;Melbourne;AUS;5;Australia;2025-03-15 02:30:00+00:00;2025-03-15 01:30:00+00:00;11:00:00;Melbourne;1254;9688;Practice 3;Practice;2025
10;Melbourne;AUS;5;Australia;2025-03-15 06:00:00+00:00;2025-03-15 05:00:00+00:00;11:00:00;Melbourne;1254;9689;Qualifying;Qualifying;2025
10;Melbourne;AUS;5;Australia;2025-03-16 06:00:00+00:00;2025-03-16 04:00:00+00:00;11:00:00;Melbourne;1254;9693;Race;Race;2025
49;Shanghai;CHN;53;China;2025-03-21 04:30:00+00:00;2025-03-21 03:30:00+00:00;08:00:00;Shanghai;1255;9988;Practice 1;Practice;2025
49;Shanghai;CHN;53;China;2025-03-21 08:14:00+00:00;2025-03-21 07:30:00+00:00;08:00:00;Shanghai;1255;9989;Sprint Qualifying;Qualifying;2025
49;Shanghai;CHN;53;China;2025-03-22 04:00:00+00:00;2025-03-22 03:00:00+00:00;08:00:00;Shanghai;1255;9993;Sprint;Race;2025
49;Shanghai;CHN;53;China;2025-03-22 08:00:00+00:00;2025-03-22 07:00:00+00:00;08:00:00;Shanghai;1255;9994;Qualifying;Qualifying;2025
49;Shanghai;CHN;53;China;2025-03-23 09:00:00+00:00;2025-03-23 07:00:00+00:00;08:00:00;Shanghai;1255;9998;Race;Race;2025
46;Suzuka;JPN;4;Japan;2025-04-04 03:30:00+00:00;2025-04-04 02:30:00+00:00;09:00:00;Suzuka;1256;9999;Practice 1;Practice;2025
46;Suzuka;JPN;4;Japan;2025-04-04 07:00:00+00:00;2025-04-04 06:00:00+00:00;09:00:00;Suzuka;1256;10000;Practice 2;Practice;2025
46;Suzuka;JPN;4;Japan;2025-04-05 03:30:00+00:00;2025-04-05 02:30:00+00:00;09:00:00;Suzuka;1256;10001;Practice 3;Practice;2025
46;Suzuka;JPN;4;Japan;2025-04-05 07:00:00+00:00;2025-04-05 06:00:00+00:00;09:00:00;Suzuka;1256;10002;Qualifying;Qualifying;2025
46;Suzuka;JPN;4;Japan;2025-04-06 07:00:00+00:00;2025-04-06 05:00:00+00:00;09:00:00;Suzuka;1256;10006;Race;Race;2025
63;Sakhir;BRN;36;Bahrain;2025-04-11 12:30:00+00:00;2025-04-11 11:30:00+00:00;03:00:00;Sakhir;1257;10007;Practice 1;Practice;2025
63;Sakhir;BRN;36;Bahrain;2025-04-11 16:00:00+00:00;2025-04-11 15:00:00+00:00;03:00:00;Sakhir;1257;10008;Practice 2;Practice;2025
63;Sakhir;BRN;36;Bahrain;2025-04-12 13:30:00+00:00;2025-04-12 12:30:00+00:00;03:00:00;Sakhir;1257;10009;Practice 3;Practice;2025
63;Sakhir;BRN;36;Bahrain;2025-04-12 17:00:00+00:00;2025-04-12 16:00:00+00:00;03:00:00;Sakhir;1257;10010;Qualifying;Qualifying;2025
63;Sakhir;BRN;36;Bahrain;2025-04-13 17:00:00+00:00;2025-04-13 15:00:00+00:00;03:00:00;Sakhir;1257;10014;Race;Race;2025
149;Jeddah;KSA;153;Saudi Arabia;2025-04-18 14:30:00+00:00;2025-04-18 13:30:00+00:00;03:00:00;Jeddah;1258;10015;Practice 1;Practice;2025
149;Jeddah;KSA;153;Saudi Arabia;2025-04-18 18:00:00+00:00;2025-04-18 17:00:00+00:00;03:00:00;Jeddah;1258;10016;Practice 2;Practice;2025
149;Jeddah;KSA;153;Saudi Arabia;2025-04-19 14:30:00+00:00;2025-04-19 13:30:00+00:00;03:00:00;Jeddah;1258;10017;Practice 3;Practice;2025
149;Jeddah;KSA;153;Saudi Arabia;2025-04-19 18:00:00+00:00;2025-04-19 17:00:00+00:00;03:00:00;Jeddah;1258;10018;Qualifying;Qualifying;2025
149;Jeddah;KSA;153;Saudi Arabia;2025-04-20 19:00:00+00:00;2025-04-20 17:00:00+00:00;03:00:00;Jeddah;1258;10022;Race;Race;2025
