compound;driver_number;lap_end;lap_start;meeting_key;session_key;stint_number;tyre_age_at_start
MEDIUM;27;1;1;1253;9683;1;0
MEDIUM;87;1;1;1253;9683;1;0
MEDIUM;81;1;1;1253;9683;1;0
HARD;7;1;1;1253;9683;1;0
MEDIUM;23;1;1;1253;9683;1;0
HARD;31;1;1;1253;9683;1;16
UNKNOWN;14;2;1;1253;9683;1;0
MEDIUM;5;2;1;1253;9683;1;16
MEDIUM;18;2;1;1253;9683;1;0
MEDIUM;4;2;1;1253;9683;1;17
MEDIUM;22;3;1;1253;9683;1;0
MEDIUM;55;3;1;1253;9683;1;0
HARD;30;4;1;1253;9683;1;0
MEDIUM;6;4;1;1253;9683;1;0
HARD;1;4;1;1253;9683;1;13
MEDIUM;63;4;1;1253;9683;1;16
MEDIUM;12;5;1;1253;9683;1;0
HARD;44;5;1;1253;9683;1;0
HARD;16;5;1;1253;9683;1;11
MEDIUM;10;5;1;1253;9683;1;14
MEDIUM;23;2;2;1253;9683;2;1
HARD;7;2;2;1253;9683;2;0
MEDIUM;81;2;2;1253;9683;2;1
MEDIUM;27;4;2;1253;9683;2;1
MEDIUM;87;6;2;1253;9683;2;1
MEDIUM;31;11;2;1253;9683;2;11
MEDIUM;23;3;3;1253;9683;3;2
MEDIUM;81;3;3;1253;9683;3;2
MEDIUM;14;4;3;1253;9683;2;0
MEDIUM;5;4;3;1253;9683;2;13
MEDIUM;4;4;3;1253;9683;2;19
MEDIUM;18;7;3;1253;9683;2;6
HARD;7;8;3;1253;9683;3;2
MEDIUM;23;4;4;1253;9683;4;3
MEDIUM;81;4;4;1253;9683;4;3
MEDIUM;55;5;4;1253;9683;2;8
MEDIUM;22;6;4;1253;9683;2;3
MEDIUM;81;5;5;1253;9683;5;0
MEDIUM;23;6;5;1253;9683;5;4
MEDIUM;5;6;5;1253;9683;3;0
MEDIUM;4;6;5;1253;9683;3;21
MEDIUM;27;7;5;1253;9683;3;4
MEDIUM;63;7;5;1253;9683;2;0
HARD;30;8;5;1253;9683;2;4
MEDIUM;6;8;5;1253;9683;2;13
HARD;1;9;5;1253;9683;2;0
MEDIUM;14;13;5;1253;9683;3;0
MEDIUM;12;6;6;1253;9683;2;5
MEDIUM;81;6;6;1253;9683;6;5
HARD;44;10;6;1253;9683;2;5
HARD;16;10;6;1253;9683;2;16
MEDIUM;10;11;6;1253;9683;2;0
HARD;55;12;6;1253;9683;3;0
MEDIUM;81;7;7;1253;9683;7;0
MEDIUM;5;8;7;1253;9683;4;15
MEDIUM;22;9;7;1253;9683;3;6
MEDIUM;87;11;7;1253;9683;3;6
MEDIUM;12;11;7;1253;9683;3;6
MEDIUM;23;11;7;1253;9683;6;0
MEDIUM;4;12;7;1253;9683;4;0
MEDIUM;81;13;8;1253;9683;8;7
MEDIUM;18;13;8;1253;9683;3;0
MEDIUM;27;16;8;1253;9683;4;0
MEDIUM;63;19;8;1253;9683;3;0
MEDIUM;5;10;9;1253;9683;5;20
MEDIUM;6;12;9;1253;9683;3;13
HARD;30;13;9;1253;9683;3;8
HARD;7;14;9;1253;9683;4;8
MEDIUM;22;16;10;1253;9683;4;9
