air_temperature;date;humidity;meeting_key;pressure;rainfall;session_key;track_temperature;wind_direction;wind_speed;
14.3;2025-02-26 06:46:42.313000+00:00;49.0;1253;1023.8;0;9683;23.8;76;1.8;
13.0;2025-02-27 06:45:07.660000+00:00;46.0;1253;1022.1;0;9684;14.5;57;1.2;
16.1;2025-02-28 06:45:13.153000+00:00;54.0;1253;1020.8;0;9685;23.8;40;1.8;
23.8;2025-03-14 01:16:12.694000+00:00;48.0;1254;1018.4;1;9686;39.3;0;0.0;
31.5;2025-03-15 01:19:21.607000+00:00;45.0;1254;1014.0;1;9688;36.5;265;0.8;
32.5;2025-03-15 04:48:22.537000+00:00;41.0;1254;1009.9;1;9689;40.5;0;0.7;
15.8;2025-03-16 03:07:30.394000+00:00;91.0;1254;1009.2;1;9693;18.8;211;2.6;
22.1;2025-03-21 03:16:06.682000+00:00;23.0;1255;1020.8;0;9988;32.8;237;2.5;
24.9;2025-03-21 07:18:08.035000+00:00;14.0;1255;1017.9;0;9989;38.7;238;3.7;
21.8;2025-03-22 02:19:13.231000+00:00;26.0;1255;1019.1;0;9993;33.0;239;3.1;
21.8;2025-03-22 02:19:13.231000+00:00;26.0;1255;1019.1;0;9993;33.0;239;3.1;
26.1;2025-03-22 06:47:14.288000+00:00;14.0;1255;1015.5;0;9994;41.0;196;1.6;
27.5;2025-03-23 06:05:20.723000+00:00;16.0;1255;1011.2;0;9998;42.2;230;2.7;
27.5;2025-03-23 06:06:20.723000+00:00;16.0;1255;1011.3;0;9998;42.2;258;2.6;
13.0;2025-04-04 02:15:49.538000+00:00;44.0;1256;1012.2;1;9999;34.1;281;4.3;
13.8;2025-04-04 05:47:50.685000+00:00;41.0;1256;1010.7;1;10000;35.0;291;4.8;
13.8;2025-04-05 02:15:58.026000+00:00;41.0;1256;1015.4;1;10001;36.9;137;2.6;
14.7;2025-04-05 05:46:59.270000+00:00;57.0;1256;1013.3;1;10002;35.4;151;4.5;
14.6;2025-04-06 04:08:06.132000+00:00;76.0;1256;1009.9;1;10006;22.5;324;1.1;
34.9;2025-04-11 11:17:09.282000+00:00;25.0;1257;1001.4;0;10007;48.7;0;1.9;
30.9;2025-04-11 14:48:10.664000+00:00;44.0;1257;1001.8;0;10008;36.2;29;1.4;
34.3;2025-04-12 12:17:18.944000+00:00;41.0;1257;1001.5;0;10009;47.1;26;1.8;
26.3;2025-04-12 15:48:20.220000+00:00;59.0;1257;1003.3;0;10010;31.5;12;2.8;
27.9;2025-04-13 14:08:28.808000+00:00;45.0;1257;1007.9;0;10014;34.5;29;2.9;
27.8;2025-04-18 13:17:50.006000+00:00;73.0;1258;1006.7;0;10015;51.3;268;2.2;
28.2;2025-04-18 16:46:50.652000+00:00;63.0;1258;1006.8;0;10016;37.6;323;0.7;
29.1;2025-04-19 13:16:55.358000+00:00;67.0;1258;1005.7;0;10017;52.7;280;2.1;
28.7;2025-04-19 16:46:55.702000+00:00;68.0;1258;1006.0;0;10018;37.5;269;1.0;
28.7;2025-04-20 16:07:00.731000+00:00;71.0;1258;1006.3;0;10022;39.4;315;1.2;
